No,Ulasan,Translate_Ulasan,VADER A,VADER B,MANUAL
650,"APLIKASI NYA BODOH, MASA LOGIN SELALU DIMINTA PASSCODE , TAPI PASSCODE NYA SAJA TIDAK DI KIRIM2 KE NOMOR SAYA ? TERTIPU SAYA MANA ADA DANA TRANSFERAN JADI GAK BISA DI PAKE DONK UANGNYA,.,?! ðŸ¤•ðŸ˜¤ðŸ˜ ","THE APPLICATION IS STUPID, WHEN YOU LOG IN IT ALWAYS ASKS FOR A PASSCODE, BUT THE PASSCODE IS NOT SENT TO MY NUMBER? I WAS DECEIVED THAT THERE WAS TRANSFER FUNDS SO I COULDN'T USE THE MONEY,?! 🤕😤😠",negatif,netral,negatif
651,"tidak bisa diakses untuk device unlock bootloader, kebanyakan xioami & samsung itu unlock bootloader bawaan pabrik. banyak jg di grup komunitas bank mengeluhkan akan hal itu.","It cannot be accessed to unlock the device's bootloader, most Xiaomi & Samsung unlock the factory default bootloader. Many people in banking community groups complain about that.",negatif,netral,negatif
652,Koq mau login harus ada pulsa aneh bgt gk kyk rekening lain gk ribet pascode bayar,"How come you have to have credit to log in? It's really strange, it's not like other accounts don't have complicated payment passwords",negatif,netral,negatif
653,Mantap,Great,positif,positif,positif
654,Ok,Ok,positif,positif,netral
655,Mudah dan cepat,Easy and fast,positif,positif,positif
656,nice,nice,positif,positif,positif
657,aplikasi bagut banget,the application is really buggy,netral,netral,positif
658,Sangat puas dengan fitur-fitur yang disediakan,Very satisfied with the features provided,positif,positif,positif
659,Bgm kalau pembayaran cash d an point spj kamitahu.,How about paying cash and SPJ points? We know.,netral,netral,positif
660,"Keblokir cs masa gada layanan bebas pulsa tekor nelpon mana ga langsung ke cs malah tekan angka menu 1 2 3 suruh nunggu, tolong layanan bebas pulsanya bikin tekor pulsa habis doang!!! Mana tiap login pertama motong pulsa tsel 2800 rupiah, gada apa-apa logout sendiri login ulang motong trs rampok pulsa kesel aplikasinya bikin tekor pulsa tolong buat masukan kedepannya direspon woi!!!","CS is blocked when there is no toll-free service, no call, no way, go directly to CS, instead press the menu number 1 2 3 and tell you to wait, please, the toll-free service will make you run out of credit!!! Where, every time you first log in, you deduct 2800 rupiah from your Tsel credit, it doesn't matter, log out yourself, log in again, cut it, then rob the credit, the application is causing a shortfall in credit, please respond in the future, wow!!!",positif,netral,negatif
661,"Aplikasi sampah, baru di download malah ada keterangan ""Mohon maaf, saat ini perangkat anda belum dapat digunakan untuk mengakses OCTO Mobile""","Garbage application, just downloaded it instead there is a statement ""Sorry, at this time your device cannot be used to access OCTO Mobile""",netral,netral,negatif
662,"Sangat berguna ni dan mudah di pergunakan ,semoga bisa lebih bagus lagi ,sangat cepat prosesnya ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘","This is very useful and easy to use, hopefully it can be even better, the process is very fast 👍👍👍👍👍",positif,positif,positif
663,Terkadang masih logout sendiri,Sometimes it still logs out itself,netral,netral,negatif
664,Aplikasi masih kurang baik . Kadang Kembali sendiri.. Dan semoga Cepat Dapat Kartu kredit buat nambah Modal,The application is still not good. Sometimes you come back alone... And hopefully you can quickly get a credit card to increase your capital,positif,netral,netral
665,Mantap,Great,positif,positif,positif
666,Mantap,Great,positif,positif,positif
667,Mantap,Great,positif,positif,positif
668,mantapppp banyakl cashback,"great, lots of cashback",positif,positif,positif
669,Sudah lebih baik aplikasi nya....sejauh ini sudah sangat terbantu untuk transaksi...,The application is better...so far it has been very helpful for transactions...,positif,positif,positif
670,"Keren, ga ribett","Keren, go ribett",netral,netral,positif
671,"Aplikasi selalu lemot, padahal pakai wifi.. dan paling mengecewakan, sejak pakai atm ini dan bikin m bangking dangn nomor terdaftar setiap hari di telpon scam dari pegawai cimb yg jual data pribadi... Gila... Penipu semua isi bank ini","The application is always slow, even though it uses WiFi... and the most disappointing thing, since using this ATM and making me bankrupt with the registered number every day I get scam calls from CIMB employees who sell personal data... Crazy... Fraudsters all over this bank",negatif,netral,negatif
672,versi good,good version,positif,positif,positif
673,Good,Good,positif,positif,positif
674,Balik lagi ke jaman dulu? Tiap login harus passcode via sms?,Go back to the past? Every time you log in you have to have a passcode via SMS?,netral,netral,negatif
675,"Pokoknya good,bisa bayar apa saja","Anyway, it's good, you can pay whatever you want",positif,netral,positif
676,Mudah dan cepat,Easy and fast,positif,positif,positif
677,Mau buka rekening pertama data udah lengkap sesuai dengan yg diminta dan sudah benar tapi kenapa tidak dapat diproses. Berulang kali coba sama saja tidak dapat diproses.,"I want to open the first account, the data is complete as requested and correct, but why can't it be processed? If you try repeatedly, it won't be processed.",netral,netral,negatif
678,transaksi sangat cepat dan aman dan sangat mudah,transactions are very fast and safe and very easy,positif,positif,positif
679,Ok,Ok,positif,positif,netral
680,"Bagus, inputan pin parsial, tdk bisa diintip","Good, partial pin input, can't be peeked",positif,netral,negatif
681,Oke,Too much,netral,netral,netral
682,"Sejauh ini ga ada kendala, jadi syuka bgt sih","So far there have been no problems, so I'm really happy with it",positif,netral,positif
683,"Transaksi lebih mudah dengan Octo mobile,,..","Transactions are easier with Octo mobile,,..",positif,netral,positif
684,Sagat puas,Very satisfied,positif,positif,positif
685,Kenapa Setiap login auto out???,Why does every login auto exit???,netral,netral,negatif
686,User id sudah benar..ga bisa masuk Nunggu pascode SMS ga dikirim2 kodenya..masa iya kudu ditelpon Tolong diperbaiki..baik apk nya serta layanan offline nya..makasih,"The user ID is correct..can't log in. Waiting for the SMS passcode, the code won't be sent..you have to call. Please fix it..both the apk and the offline service..thank you",positif,netral,negatif
687,"Ojol/gojek yg punya rekpon/rek cimb niaga sebaiknya punya apps ini.. Unggul daripada app g**"""".","Ojol/gojek that has a rekpon/cimb commerce account should have this app.. It's superior to the g**"" app.",positif,netral,positif
688,Pelayanan bagus,Good service,positif,positif,positif
689,Sangat membantu proses transfer.,Very helpful with the transfer process.,positif,positif,positif
690,mantap,solid,positif,positif,positif
691,Aplikasi bagus sangat membantu dan mudah operasionalnya. Selama ini gak ada kendala kecuali pas ada perbaikan sistem itu pun selalu ada pemberitahuan..good job,"Good application, very helpful and easy to operate. So far there have been no problems except when there is a system repair and there is always a notification...good job",positif,netral,positif
692,Sangat baik,Very good,positif,positif,positif
693,Gimana sih cara login kok gak bisa bisa padahal user id udah bener Parah sih ini,How do I log in and I can't even though the user ID is correct? This is really serious,negatif,netral,negatif
694,Praktis mudah good,"Practically easy, good",positif,positif,positif
695,"Gak bisa login, padahal user id udah bener tapi passcode nya tidak dikirim","Can't log in, even though the user ID is correct but the password is not sent",netral,netral,negatif
696,nasbah di blokir . maksud nya apa???,the customer is blocked. What does it mean???,negatif,netral,negatif
697,OCTO MOBILE MANTAP Transaksi apapun bisa lebih mudah menggunakan OCTO MOBILE dan bisa melakukan transaksi tanpa kartu lewat OCTO MOBILE,OCTO MOBILE STEADY Any transaction can be easier using OCTO MOBILE and you can make transactions without a card via OCTO MOBILE,positif,netral,positif
698,Mantap,Great,positif,positif,positif
699,"Aplikasi jelek, aplikasi biasanya buat fleksibel ini malah ribet, malah gabisa masuk dan keblokir","The application is bad, the application is usually made to be flexible but it's complicated, it can't even enter and it's blocked",negatif,netral,negatif
700,"Mantap...,transaksi semudah membalikkan telapak tangan, gratis pula lagi","Great..., transactions are as easy as turning the palm of your hand, and it's free too",positif,positif,positif
701,Sangat menbantu sudah tidak berat lagi saat di gunakan aplikasinya,"Very helpful, it's not heavy anymore when using the application",positif,netral,positif
702,Barusan ganti hp mau minta kode SMS ID kok GK masuk2 y,"Just changed my cellphone and wanted to ask for the SMS ID code, but it didn't come in",netral,netral,positif
703,Mobile banking paling ngeselin....nunggu pascode aja susah... sampai berkali-kali.... akhir nya jeda 10mnt....gagal juga....ampun dah...,Mobile banking is the most annoying...it's hard to wait for the passcode...so many times...finally it takes a 10 minute delay...it doesn't work...it's a shame...,negatif,netral,negatif
704,"Aplikasi yg sangat membantu,,,transfer ke bank lain gratis biaya admin....",Very helpful application... transfers to other banks are free of admin fees...,positif,positif,positif
705,Device unlock bootloader tidak di izinkan memakai OCTO Mobile,Device unlock bootloader is not permitted using OCTO Mobile,netral,netral,negatif
706,"Mempermudah transaksi di mana pun , jadi pake octo mobile saja guyyss","Makes transactions easier anywhere, so just use Octo Mobile, guys",positif,netral,positif
707,Aplikasi menjengkelkan mau daftar tapi selalu katanya nomor terblokir,The annoying application wants to register but always says the number is blocked,negatif,netral,negatif
708,Cool,Cool,positif,positif,positif
709,TERBAEK TERIMAKASIH CIMB NIAGA,BEST THANK YOU CIMB NIAGA,positif,positif,positif
710,Trimakasih,Thank You,positif,positif,positif
711,Passcode tidak dikirim gimana mau aktivasi? Gimana mau laku juga nih aplikasi..,"Passcode was not sent, how do I activate it? How do you want to sell this application?",positif,netral,negatif
712,"Pascode kaga masuk"" Selama se abad gmna sihh nih aplikasi, pulsa dah habis banyak malah kaga masuk"" Pascode nya","Passcode won't enter"" For a century, what's the matter with this application? I've run out a lot of credit and it won't enter"" The passcode",positif,netral,negatif
713,Tiap login harus pake passcod.. Passcod tidak pernah masuk. Ngabisin pulsa doang,Every time you log in you have to use a passcode... The passcode is never entered. Just wasting money,positif,netral,negatif
714,"Saldo mengendap cukup besar untuk sekedar dapat free admin, transfer,top up ewallet, tarik tunai. Jumlah saldo minimum yang besar tidak diimbangi dengan bunga yang menarik seperti bank digital lain, tabungan berjangka juga paling aneh masa kena biaya admin 5rb,bank lain namanya tabungan berjangka autodebet ga kena admin. coba 2juta bisa diakumulasi sama investasi reksadana dll mungkin lebih cocok dengan millenial.","The deposited balance is large enough to just get free admin, transfers, ewallet top ups, cash withdrawals. The large minimum balance amount is not balanced with attractive interest like other digital banks, term savings are also the strangest when they are subject to admin fees of 5 thousand, other banks, called autodebit term savings, do not subject to admin. Try 2 million, you can accumulate it with mutual fund investments, etc. Maybe it's more suitable for millennials.",positif,netral,negatif
715,Mudah digunakan,Easy to use,positif,positif,positif
716,"Sangat membantu, Mantap","Very helpful, great",positif,positif,positif
717,"Setiap transaksi transfer setelah di klik nomor rekening tujuan, selalu nyangkut dgn nomor rekening transfer sebelumnya. Sudah berapa kali transaksi jadi double transfer krn masalah ini. Tolong segera diperbaiki",Every transfer transaction after clicking on the destination account number is always linked to the previous transfer account number. How many times have transactions become double transfers because of this problem? Please fix it immediately,negatif,netral,negatif
718,"Saya sudah bertahun-tahun. Memakai rek CIMB niaga , , dan selama ini sudah banyak membantu , terimakasih banyak","I have for years. Using the CIMB Niaga account, and so far it has helped a lot, thank you very much",positif,netral,positif
719,Cepat isi pulsa,Quickly top up your credit,positif,positif,positif
720,Semua jadi mudah,Everything is easy,positif,positif,positif
721,"Saat login ke device baru atau device lain,sudah memasukan user id namun kode otp ga dikirim","When you log in to a new device or another device, you enter your user ID but the OTP code is not sent",netral,netral,negatif
722,Sangat baik,Very good,positif,positif,positif
723,mantafff,mantafff,netral,netral,positif
724,User friendy aplikasinya,User friendly application,positif,positif,positif
725,"Hanya kurang lengkap untuk pembayaran,online shop dan yg lain nya","Only incomplete for payments, online shops and others",netral,netral,positif
726,Banyak extra points,Lots of extra points,netral,netral,positif
727,X-tra poin gajelas transaksi nya ga ada yg dapet poin,"X-tra points don't make the transaction clear, no one gets points",positif,netral,negatif
728,oke,limit,netral,netral,netral
729,Sangat baik,Very good,positif,positif,positif
730,Sangat mudah dalam transaksi dengan Octo mobile,It's very easy to make transactions with Octo mobile,positif,netral,positif
